,title,place,term,term_start,term_end,time,emp_rate,link,adr,lat,lng
58,(제품디자인)제품디자인 및 기계부품설계(캐드 3D인벤터 3D프린팅)-C,(주)울산KH정보교육원,21/05/31~21/10/06,210531,211006,88일  총700시간,80.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000275170&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020054673#undefined,울산광역시 남구 신정동 삼산로35번길 19,35.5350544,129.3108984
59,(내선공사)내선공사(전기기능사 취득 포함)(B),미래직업전문학교,21/05/31~21/09/30,210531,210930,84일  총640시간,83,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000273632&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020014425#undefined,부산광역시 동구 초량동 중앙대로286번길 13,35.12172750000001,129.044975
60,(디지털컨버전스) UI/UX디자인 웹퍼블리셔 & 프론트엔드 개발자 양성과정 1,강남 그린컴퓨터아카데미,21/05/31~21/11/10,210531,211110,113일  총900시간,67.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000276895&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020046871#undefined,서울특별시 강남구 역삼1동 강남대로 428,37.5007689,127.0268353
61,[출판]뉴미디어 광고편집디자인(웹 모바일 SNS 출판물),이젠아카데미평생교육원,21/05/31~21/10/02,210531,211002,88일  총700시간,81.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000302392&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020017427#undefined,서울특별시 서초구 서초4동 1303-37 서초W타워 13층,37.5025398,127.0248679
62,기초부터 단기완성 전산회계1급  전산세무2급 자격증 SS,인천IT직업능력개발학원,21/05/31~21/07/14,210531,210714,29일  총190시간,58.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20210000313969&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020024204#undefined,인천광역시 남구 주안1동 주안로 108,37.4636207,126.6817237
63,요양보호사 자격 취득과정,수요양보호사교육원,21/05/31~21/08/06,210531,210806,30일  총240시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000311270&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500037147974#undefined,서울특별시 동대문구 답십리동 36-62번지 4층,37.5698298,127.0569629
64,요양보호사 자격 취득과정(야간반),희망가득요양보호사교육원,21/05/31~21/08/20,210531,210820,60일  총240시간,51.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000310421&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500035251005#undefined,경남 거제시 고현동 1015 KR,34.89384210000001,128.6300749
65,아파트(공동주택XPERP) 경리실무(FAT1 TAT2급 자격취득),한국직업능력교육원 안산,21/05/31~21/07/16,210531,210716,35일  총210시간,47.4,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000309424&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020028748#undefined,경기도 안산시 단원구 고잔동 예술대학로 17,37.3185883,126.8364913
66,카페 브런치조리사 과정,김해영지요리직업전문학교,21/05/31~21/08/10,210531,210810,40일  총120시간,47.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000307063&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020057530#undefined,경남 김해시 서상동 27-31,35.235011,128.8811376
67,요양보호사 자격 취득과정,한국요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,64.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000301361&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020025983#undefined,서울특별시 마포구 창전동 302,37.5477585,126.930197
68,바리스타 입문과정(바리스타2급+핸드드립),빈센트커피교육학원,21/05/31~21/07/12,210531,210712,25일  총100시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000300455&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020057289#undefined,경기도 수원시 팔달구 매산로2가 갓매산로55번길 18 헌욱빌딩,37.2689804,127.0036546
69,양식조리기능사 자격증 취득(이론+실기) 및 브런치조리 실무과정,대전음식나라조리제과제빵학원,21/05/31~21/07/27,210531,210727,40일  총138시간,39.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000299906&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020048784#undefined,대전광역시 서구 둔산동 1129,36.3480413,127.3781528
70,총무사무/ 컴퓨터활용능력 2급 취득,탑스터디컴퓨터학원,21/05/31~21/06/30,210531,210630,23일  총90시간,48.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000298837&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020042322#undefined,전북 군산시 수송동 827-10,35.9679478,126.7161004
71,간호조무사 자격 취득과정,서부산간호조무학원,21/05/31~2022/03/,210531,202203,195일  총1520시간,60,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000298221&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020020213#undefined,부산광역시 사하구 괴정3동 288-1,35.1020067,128.9983453
72,제과기능사 자격증 취득과정(필기+실기),김포중앙요리제과학원,21/05/31~21/07/08,210531,210708,27일  총81시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000297177&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500035852593#undefined,경기도 김포시 장기동 1606,37.6444026,126.6677763
73,요양보호사 자격 취득 과정,상록수요양보호사교육원,21/05/31~21/07/29,210531,210729,52일  총240시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000296581&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500037077403#undefined,서울특별시 성동구 금호동1가 125-1번지 3층 301호,37.5547663,127.020345
74,헤어미용사 양성과정(자격증+실무),한국뷰티예술실용전문학교,21/05/31~21/09/08,210531,210908,73일  총440시간,69.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000295649&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020056947#undefined,경기도 안산시 단원구 고잔동 고잔1길 76,37.317622,126.8417828
75,미용사(일반) 국가자격증 취득과정,크리스찬쇼보뷰티미용학원,21/05/31~21/09/10,210531,210910,70일  총280시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000295341&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500037148034#undefined,서울특별시 노원구 상계동 337번지 다나프라자,37.6567572,127.0634341
76,미용사(피부) 자격증 취득,보니따미용학원,21/05/31~21/10/25,210531,211025,100일  총300시간,66.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000294996&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020048519#undefined,경기도 성남시 분당구 금곡동 166번지 이코노샤르망 8층 804호 KR,37.3503516,127.1071772
